TxHashId,Fee
50017c89ddac0e705e3c1c00652f8d783cae589fb3d06a4190edeea830db1479,0.0014454 BTC
4534bde3aef46df6124ab7018f1ea18d19ccf79f6c276d29509a91d0eed7d299,0.0014454 BTC
1b28840134b218197ff3f1ff4e0f3c7db2c71f62c9c1ac81c019d1abfe51af2e,0.0036954 BTC
226e03a1aa06f673f1f6310610363b7bfbc8918129b3c2d369a85ff5ec927503,0.0009454 BTC
0fa056705030a899b203d0a4f98962b4217da788cbceb7077a51b3535b1f9f49,0.0014454 BTC
d3b31a0a96097e05c7e53f265599f9fd41cdf35780da1b4fa81bfe8ac47c9fa0,0.0014454 BTC
f82a0dfe0e006f28efa5b3928a71fe7c600ae3fbfaf1c9fc8f8d312f7094cd2a,0.0014454 BTC
490fa56ff55f519291e66bec8be2b6051fe44a51aa3b4b095313a8ed7dd2fc60,0.0011408 BTC
e37966d6521d09d857e19bd03050eb7cc482fb5c39811f95ef0d90d8d7023c6f,0.0009454 BTC
6395200223ce4e35185fa84975b8d7b216bdc52c3e7fa4a8a6ad6644de82ed82,0.0014454 BTC
4e0fba1c2d351507bb5bacc98a2e5fb0423cc5d785d982479ac514da1c359cc9,0.0014454 BTC
5717a456bec333212f06d07affe1a63c3753d4ee07a391696e505b0fddc08d3c,0.0009454 BTC
84a94e360cc69d3e17f30fab277e53060ef0f25f48ca7b74ef4318d6da2806cc,0.0014454 BTC
479509fef912bf28ead578aedb5465782661af106126bf5dad81d520967564d7,0.0014454 BTC
bfdbdfe42ff012dea38cf4c70969a20cbdbdc88589f12481bf6a7641f90d9958,0.0009454 BTC
f2b9d817439dea4b0709b8ecb36a82dde437d65fe6e8f40669cabfd6bf0ca2b5,0.0006954 BTC
79508053e89302c93288f7812f0e5f63576b8b19576f4471f477d7330b1b2983,0.0014454 BTC
a92b325b94bf843b15b51541a90723381f4b488a69ee5bf54719d734ee161325,0.0014454 BTC
c90b990d7f56961aeb0a7f38f09630ff9568ba13f10df3b00a0cf17b0b748a62,0.0014454 BTC
a1539fd9e6931f0da29a91f8ed65491613de7dd2759d13d297575f6438a14463,0.0016954 BTC
0e02f62461332ce7ae42c66b06d114086601edd64d0d4e7d3db1272e555a0f4e,0.0009454 BTC
f2f498ee08cdec34a40d17b76a61b623281cf4e07967097461f460afb7b34b14,0.0011954 BTC
afbd64ffd5007b4840aa17693a7d89e244edeb6e414830601ee8d05574a5e4e2,0.0014454 BTC
775f818b3168f83b68ac1e4c9a503cb204fc32dc42525dd6837abf9c49c97974,0.0014454 BTC
3e449ddc477dd711e1342f389aecc8fc1609d756aa96da4694c5cc1cd14f709a,0.0008908 BTC
f4ddaa218ab9a170dfbd25469bd7016c4f78e1432d42e920da9727a65ea2db34,0.0009454 BTC
2f83dbb837a41c65fa0c836843670a0435a6886209e869545831e89212d504b8,0.0014454 BTC
1214979cdf4455660ad8065c70d14616e911a49dcb9bb05d7f35658114df811a,0.0016954 BTC
ced10f085b6a210f5bfa417a610fb2bc2c98299d39bb00665030eba7db1b61d8,0.0014454 BTC
e9b59721cec27cfc0c70f6e6172d6cee484e5d9fd89a64a7b8112b56d9ef83c9,0.0014454 BTC
c07ebcefae451597bb9f9ddb01eecfab36315549b2a03cb27f0b9efde1855940,0.0014454 BTC
233bec33e9e1d18917399daa8e393a3186cd37268421ae9f4674a3b59fbfc17a,0.0016954 BTC
c174f004269a6b49a44ff35cd332d7e9c0fc4a5edc3a51124d5eee214f76c0e2,0.0014454 BTC
61d5d1826b9a31e1a5bd73c5d8d9a75829b6803ea5f665814f3288ee7dcf28f8,0.0009454 BTC
9085366dd7216c2a4fe14b0c153440e360b048f142d331a3263560b71b2a5283,0.0014454 BTC
3674917d738fcf8d7252fbba6f9c60093a2b4de185c29ef9bf46c87de0bba403,0.0014454 BTC
5c044c3c11762bd9942065c550062bf584a994fd769aa26284b9ba96727a0cfb,0.0014454 BTC
325178a88452b389d68d9e65da1311f392b5966b347281a50f2e900112674b4d,0.0014454 BTC
cd7286aed80d9db860eda5bd88afcfa14840e1a160b9f8b1815eb8b992055823,0.0014454 BTC
b710d2d0bf5b17531915da102c2528445f54cbc59ddc36cd6fffba443b4f797f,0.0016954 BTC
e2a2345d5d719c014037024e612415fb24dd975e95f2d0e43291c80024ab610c,0.0009454 BTC
f1dd0d18428bfd2f92afd38e31af8726fc679cd45c9722e85faf4f49ac6f88a9,0.0014454 BTC
b8960585cd2644a788abe67ba10621b0c73c3b1ef7d1e996d8e962984c1fd225,0.0008908 BTC
86ce7fc81d31459d2051ea97d88f4e636616ebd974498b0d3bec21be6cf42885,0.0011408 BTC
a00aef1df980cae096140436ff938e06b9d52e32600eb983509fc9efd049be09,0.0008908 BTC
6ccab718de5f3ec84fce9696e92961d883cf960ab5a378b3f830b329637debb5,0.0008908 BTC
c8346c1961cf36694cf108beb34de1ec1d02a47cf9e04af0c04603a314d73c22,0.0011954 BTC
d585e0f44ce650a8e9925ae819f3c3ee63b5f2fb19bb687d33b2d68a50665354,0.0016954 BTC
78c9d4f510194e978c02b55ae23d8b89f924a73a107401a37d0c347878c014f9,0.0011954 BTC
79a3e85b98c01ee90b8b38f647e6889efcd71b2636cdd2a90b64d17f04da22e4,0.0014454 BTC
63a2e4dc04ce3505d967a615da1ebd8561211178429986448d60622a686b4f86,0.0011954 BTC
f939d0f3593e3b7feaf8ec91d1a1971ac2b2b562d6fcb6e27f08deb3bc3fef88,0.0014454 BTC
c9c1d5477aa8888f73d0b72336dbb9e90ab9b82ef0ff08bce732ab2182d8b241,0.0014454 BTC
1d2f56b3bd39d4082bb4f1fbfcb748d7a245185a397540cc2f844076818eceec,0.0016954 BTC
6bcad4530aef39fefd51c440bf263406c89ac038fe604dfcc2a9fd391ebbe8ef,0.0009454 BTC
8f54226155e326f1574f7718761aa0ae0084f8457431c467a482485f13f41a5e,0.0014454 BTC
5c84b501ca67a11c4a448de619fbb7ec32ba1ca69a84f2d836df8ec1e9c7ebd7,0.0009454 BTC
342ae03818466819c2c7b06ecd23a8f73b296400890bb68c2b03035ef52b5a43,0.0014454 BTC
7f8ee1af7100e403ac6cba984fdc7017b48f5c1416fba742329a2e4148be161b,0.0011954 BTC
0e1e486c4cc3bb047fa2eebaed35ab8d6d8b062808a1daa0b3673d9fdfc9343f,0.0014454 BTC
b9dd42f5504b259b158de20941974bd54fe1b5a76f57616f2d9c38ad12087501,0.0009454 BTC
84c27e32a84807a07ffcf8a391f763e81c58fc363275674bab54c7941e059b6b,0.0016954 BTC
04b31fe57f76032c5d69dbc7c2905362d8dcba5673c02e7d8ce938b1c18385b2,0.0009454 BTC
f66c0fbdff53e3ae7582071711b463a7231d57787304da4e87df73e8f5bb24e7,0.0011954 BTC
